winery,winename,country,region,rating,numberOfRatings,wineHtmlLink
Grosset,Polish Hill Riesling 2018,Australia,Clare Valley,3.9,205,https://www.vivino.com/grosset-clare-valley-polish-hill-riesling/w/5473?year=2018&price_id=20895589
Wittmann,Westhofener Riesling Trocken 2014,Germany,Rheinhessen,3.9,205,https://www.vivino.com/wittmann-rheinhessen-westhofener-riesling-trocken/w/14235?year=2014&price_id=20907304
Twomey,Sauvignon Blanc 2017,United States,Napa County,3.9,202,https://www.vivino.com/twomey-cellars-sauvignon-blanc/w/14902?year=2017&price_id=21614140
Peter Jakob Kühn,Quarzit Riesling Trocken 2017,Germany,Rheingau,3.9,142,https://www.vivino.com/peter-jakob-kuhn-quarzit-riesling-trocken-rheingau/w/1251773?year=2017&price_id=21204668
Schiopetto,Collio Sauvignon 2016,Italy,Collio,3.9,140,https://www.vivino.com/azienda-agricola-mario-schiopetto-ss-collio-sauvignon/w/98417?year=2016&price_id=21062013
Les Héritiers du Comte Lafon,Clos de la Crochette Mâcon-Chardonnay 2016,France,Mâcon-Chardonnay,3.9,136,https://www.vivino.com/fr-les-heritiers-du-comte-lafon-clos-de-la-crochette-macon-chardonnay/w/79938?year=2016&price_id=17769064
Markus Huber,Ried Alte Setzen Erste Lage Grüner Veltliner 2016,Austria,Traisental,3.9,135,https://www.vivino.com/weingut-markus-huber-ried-alte-setzen-erste-lage-gruner-veltliner/w/1441954?year=2016&price_id=15126143
Les Héritiers du Comte Lafon,Clos de la Crochette Mâcon-Chardonnay 2015,France,Mâcon-Chardonnay,3.9,132,https://www.vivino.com/fr-les-heritiers-du-comte-lafon-clos-de-la-crochette-macon-chardonnay/w/79938?year=2015&price_id=15935343
Louis Jadot,Bourgogne Couvent Des Jacobins Blanc 2018,France,Bourgogne,3.9,130,https://www.vivino.com/louis-jadot-bourgogne-couvent-des-jacobins-blanc/w/2820?year=2018&price_id=21666679
Peter Jakob Kühn,Rheinschiefer Hallgarten Riesling Trocken 2017,Germany,Rheingau,3.9,122,https://www.vivino.com/peter-jakob-kuhn-rheinschiefer-hallgarten-riesling-trocken/w/1552549?year=2017&price_id=21204667
Les Héritiers du Comte Lafon,Les Maranches Mâcon-Uchizy 2015,France,Mâcon-Uchizy,3.9,122,https://www.vivino.com/fr-les-heritiers-du-comte-lafon-les-maranches-macon-uchizy/w/1288084?year=2015&price_id=15927904
Henri Bourgeois,Sancerre Jadis 2013,France,Sancerre,3.9,114,https://www.vivino.com/henri-bourgeois-sancerre-jadis/w/17665?year=2013&price_id=20877835
Joseph Drouhin,Drouhin - Vaudon Chablis Premier Cru 2018,France,Chablis Premier Cru,3.9,110,https://www.vivino.com/joseph-drouhin-drouhin-vaudon-chablis-premier-cru/w/1212533?year=2018&price_id=20420461
Fritz Haag,Riesling 2018,Germany,Mosel,3.9,101,https://www.vivino.com/fritz-haag-riesling/w/1132925?year=2018&price_id=21262468
Garofoli,Serra Fiorese Verdicchio Dei Castelli Di Jesi Riserva Classico 2009,Italy,Verdicchio dei Castelli di Jesi Riserva,3.9,98,https://www.vivino.com/casa-vinicola-gioacchino-garofoli-spa-serra-fiorese-verdicchio-dei-castelli-di-jesi-riserva-classico/w/7933?year=2009&price_id=17768582
Joseph Drouhin,Côte de Beaune Blanc 2013,France,Côte de Beaune,3.9,97,https://www.vivino.com/joseph-drouhin-cote-de-beaune-blanc/w/24103?year=2013&price_id=15724786
Xanadu,Chardonnay 2017,Australia,Margaret River,3.9,92,https://www.vivino.com/xanadu-wines-chardonnay/w/1629737?year=2017&price_id=21661158
Paolo e Noemia d'Amico,Falesia 2017,Italy,Umbria,3.9,91,https://www.vivino.com/paolo-e-noemia-d-amico-falesia/w/1130909?year=2017&price_id=18941355
Heggies,Chardonnay 2016,Australia,Eden Valley,3.9,89,https://www.vivino.com/heggies-chardonnay/w/99536?year=2016&price_id=19272598
Benoît Ente,Bourgogne Chardonnay 2016,France,Bourgogne,3.9,88,https://www.vivino.com/fr-benoit-ente-bourgogne-chardonnay/w/1260359?year=2016&price_id=20895173
Château de Fieuzal,Pessac-Léognan Blanc 2010,France,Pessac-Léognan,3.9,87,https://www.vivino.com/chateau-de-fieuzal-pessac-leognan-blanc/w/1441980?year=2010&price_id=20895616
Prà,Monte Grande Soave Classico 2017,Italy,Soave Classico,3.9,72,https://www.vivino.com/pra-monte-grande-soave-classico/w/1389368?year=2017&price_id=21042233
Willi Schaefer,Graacher Himmelreich Riesling Kabinett 2018,Germany,Mosel,3.9,70,https://www.vivino.com/willi-schaefer-graacher-himmelreich-riesling-kabinett/w/1513277?year=2018&price_id=21201204
Yann Durieux,Love and Pif 2017,France,Bourgogne Aligoté,3.9,68,https://www.vivino.com/yann-durieux-love-and-pif/w/1232132?year=2017&price_id=20167769
Josmeyer,Le Kottabe Riesling 2017,France,Alsace,3.9,68,https://www.vivino.com/josmeyer-and-fils-sa-le-kottabe-riesling/w/23141?year=2017&price_id=20771569
Carpineto,Farnito Chardonnay Toscana 2017,Italy,Toscana,3.9,63,https://www.vivino.com/carpineto-farnito-chardonnay-toscana/w/6207?year=2017&price_id=20724565
Louis Max,Pouilly-Fuissé Vieilles Vignes 2017,France,Pouilly-Fuissé,3.9,55,https://www.vivino.com/domaine-louis-max-pouilly-fuisse-vieilles-vignes/w/1136761?year=2017&price_id=20309323
Henri Bourgeois,Sancerre Etienne Henri 2014,France,Sancerre,3.9,54,https://www.vivino.com/henri-bourgeois-sancerre-etienne-henri/w/1640835?year=2014&price_id=17768894
Voyager Estate,Chardonnay 2017,Australia,Margaret River,3.9,54,https://www.vivino.com/voyager-estate-chardonnay/w/1101073?year=2017&price_id=21069893
Meroi,Sauvignon 2015,Italy,Friuli-Venezia Giulia,3.9,52,https://www.vivino.com/meroi-sauvignon/w/1557293?year=2015&price_id=21022105
Misha's Vineyard,Limelight Riesling 2015,New Zealand,Central Otago,3.9,51,https://www.vivino.com/mishas-limelight-riesling/w/2580040?year=2015&price_id=20256906
Domaine Huet,Vouvray Le Haut-Lieu Sec 2005,France,Vouvray,3.9,50,https://www.vivino.com/huet-vouvray-le-haut-lieu-sec/w/17522?year=2005&price_id=20771951
The Hilt,The Vanguard Chardonnay 2015,United States,Santa Barbara County,3.9,49,https://www.vivino.com/the-hilt-the-vanguard-chardonnay/w/4238361?year=2015&price_id=20853265
John Duval,Plexus White 2016,Australia,Barossa Valley,3.9,48,https://www.vivino.com/john-duval-wines-plexus-white/w/1954512?year=2016&price_id=18250946
Müller-Catoir,Haardt Riesling 2018,Germany,Pfalz,3.9,47,https://www.vivino.com/muller-catoir-haardt-riesling/w/1215691?year=2018&price_id=21447692
Julien Pilon,Mon Grand-Pére Était Limonadier Viognier 2018,France,Collines Rhodaniennes,3.9,44,https://www.vivino.com/julien-pilon-mon-grand-pere-etait-limonadier-viognier/w/1546756?year=2018&price_id=19880635
Jules Desjourneys,Mâcon-Fuissé 2016,France,Mâcon-Fuissé,3.9,37,https://www.vivino.com/jules-desjourneys-macon-fuisse/w/7144397?year=2016&price_id=20925203
Willi Schaefer,Graacher Domprobst Riesling Kabinett 2018,Germany,Mosel,3.9,35,https://www.vivino.com/willi-schaefer-graacher-domprobst-riesling-kabinett/w/1085071?year=2018&price_id=21201205
Raymond,R Collection Chardonnay 2015,United States,California,3.9,34,https://www.vivino.com/raymond-vineyards-r-collection-chardonnay/w/1084469?year=2015&price_id=20226335
Jean Fournier,Marsannay 'Les Longeroies' Blanc 2015,France,Marsannay,3.9,32,https://www.vivino.com/jean-fournier-marsannay-les-longeroies-blanc/w/6103766?year=2015&price_id=20895164
Hirsch,Zöbing Riesling 2018,Austria,Kamptal,3.9,29,https://www.vivino.com/weingut-hirsch-zobing-riesling/w/15106?year=2018&price_id=21201227
Domaine Rapet,Beaune 1er Cru 'Clos des Champs Pimont' 2016,France,Beaune 1er Cru 'Champs Pimont',3.9,28,https://www.vivino.com/fr-rapet-beaune-1er-cru-clos-des-champs-pimont/w/2615546?year=2016&price_id=18316032
Markus Huber,Berg Erste Lage Riesling 2016,Austria,Traisental,3.9,28,https://www.vivino.com/weingut-markus-huber-berg-erste-lage-riesling/w/1779255?year=2016&price_id=15126141
Daniel Dampt & Fils,Vieilles Vignes Chablis 2018,France,Chablis,3.9,27,https://www.vivino.com/domaine-daniel-dampt-et-fils-vieilles-vignes-chablis-chablis/w/1245784?year=2018&price_id=21198967
Chateau Ste. Michelle,Indian Wells Chardonnay 2016,United States,Columbia Valley,3.8,926,https://www.vivino.com/chateau-ste-michelle-indian-wells-chardonnay/w/1445?year=2016&price_id=19281864
Montes Alpha,Chardonnay 2016,Chile,Casablanca Valley,3.8,1776,https://www.vivino.com/montes-alpha-chardonnay/w/1244627?year=2016&price_id=21134358
Anselmi,San Vincenzo 2018,Italy,Veneto,3.8,718,https://www.vivino.com/roberto-anselmi-san-vincenzo/w/91463?year=2018&price_id=21267758
Telmo Rodriguez,Gaba do Xil Godello 2018,Spain,Valdeorras,3.8,517,https://www.vivino.com/telmo-rodriguez-gaba-do-xil-godello/w/63124?year=2018&price_id=20394029
Cloudy Bay,Chardonnay 2015,New Zealand,Marlborough,3.8,480,https://www.vivino.com/cloudy-bay-chardonnay/w/18979?year=2015&price_id=20427780
Domaine du Nozay,Sancerre Blanc 2017,France,Sancerre,3.8,468,https://www.vivino.com/nozay-sancerre-blanc/w/1137272?year=2017&price_id=20895233
Viña Cobos,Felino Chardonnay 2018,Argentina,Mendoza,3.8,371,https://www.vivino.com/vina-cobos-felino-chardonnay/w/44024?year=2018&price_id=20652503
Pegasus Bay,Riesling 2015,New Zealand,Waipara,3.8,362,https://www.vivino.com/pegasus-bay-winery-riesling/w/16115?year=2015&price_id=20149823
Cusumano,Alta Mora Etna Bianco 2018,Italy,Etna,3.8,339,https://www.vivino.com/cusumano-alta-mora-etna-bianco/w/2417391?year=2018&price_id=21388703
Montes Alpha,Special Cuvée Chardonnay 2015,Chile,Casablanca Valley,3.8,318,https://www.vivino.com/montes-alpha-special-cuvee-chardonnay/w/4323266?year=2015&price_id=20068196
Clos Floridène,Graves Blanc 2014,France,Graves,3.8,307,https://www.vivino.com/clos-floridene-graves-blanc/w/1239616?year=2014&price_id=18857566
Louis Jadot,Chablis Cellier de La Sablière 2018,France,Chablis,3.8,304,https://www.vivino.com/louis-jadot-chablis-cellier-de-la-sabliere/w/1134922?year=2018&price_id=21666664
Schiopetto,Collio Friulano 2016,Italy,Collio,3.8,300,https://www.vivino.com/azienda-agricola-mario-schiopetto-ss-collio-friulano/w/1550738?year=2016&price_id=21062005
Clos Henri Vineyard,Sauvignon Blanc 2015,New Zealand,Marlborough,3.8,296,https://www.vivino.com/clos-henri-sauvignon-blanc/w/1127376?year=2015&price_id=20920419
Jim Barry,Assyrtiko 2017,Australia,Clare Valley,3.8,255,https://www.vivino.com/jim-barry-assyrtiko-clare-valley-white-wine-v/w/5036639?year=2017&price_id=17768723
Garofoli,Podium Verdicchio dei Castelli di Jesi Classico Superiore 2016,Italy,Verdicchio dei Castelli di Jesi,3.8,234,https://www.vivino.com/casa-vinicola-gioacchino-garofoli-spa-podium-verdicchio-dei-castelli-di-jesi-classico-superiore/w/1809428?year=2016&price_id=21268573
Pascal Bouchard,Le Classique Chablis 2018,France,Chablis,3.8,228,https://www.vivino.com/pascal-bouchard-le-classique-chablis/w/45314?year=2018&price_id=20152210
Nautilus,Sauvignon Blanc 2019,New Zealand,Marlborough,3.8,213,https://www.vivino.com/nautilus-estate-sauvignon-blanc/w/86751?year=2019&price_id=20960247
Reyneke,Chenin Blanc 2017,South Africa,Stellenbosch,3.8,190,https://www.vivino.com/reyneke-chenin-blanc/w/1185986?year=2017&price_id=18941395
Terroir Al Límit Soc. Lda,Terra de Cuques 2015,Spain,Priorat,3.8,160,https://www.vivino.com/terroir-al-limit-terra-de-cuques/w/1704723?year=2015&price_id=21522389
Josmeyer,Le Fromenteau Pinot Gris 2015,France,Alsace,3.8,143,https://www.vivino.com/josmeyer-and-fils-sa-le-fromenteau-pinot-gris/w/23142?year=2015&price_id=21208441
Maison les Alexandrins,Viognier 2018,France,Vin de France,3.8,137,https://www.vivino.com/maison-les-alexandrins-viognier/w/5773567?year=2018&price_id=21256317
Schiopetto,Collio Pinot Grigio 2016,Italy,Collio,3.8,136,https://www.vivino.com/azienda-agricola-mario-schiopetto-ss-collio-pinot-grigio/w/1276522?year=2016&price_id=21062011
Louis Jadot,Mâcon-Villages Grange Magnien 2018,France,Mâcon-Villages,3.8,126,https://www.vivino.com/louis-jadot-macon-villages-grange-magnien/w/1134963?year=2018&price_id=21666692
Henschke,Julius Riesling 2017,Australia,Eden Valley,3.8,119,https://www.vivino.com/henschke-julius-riesling/w/1496071?year=2017&price_id=18250914
Telmo Rodriguez,El Transistor Verdejo 2015,Spain,Rueda,3.8,118,https://www.vivino.com/telmo-rodriguez-el-transistor-verdejo/w/1441651?year=2015&price_id=17768891
Nikolaihof,Federspiel Grüner Veltliner 2017,Austria,Wachau,3.8,115,https://www.vivino.com/weingut-nikolaihof-wachau-federspiel-gruner-veltliner/w/2414430?year=2017&price_id=21204617
Pegasus Bay,Sauvignon - Sémillon 2015,New Zealand,Waipara,3.8,113,https://www.vivino.com/pegasus-bay-winery-sauvignon-semillon/w/16114?year=2015&price_id=19095928
Domaine Dubreuil-Fontaine,Pernand-Vergelesses Blanc 2015,France,Pernand-Vergelesses,3.8,103,https://www.vivino.com/dubreuil-fontaine-pernand-vergelesses-blanc/w/1223496?year=2015&price_id=17966028
Francis Blanchet,Pouilly-Fumé Silice 2016,France,Upper Loire,3.8,95,https://www.vivino.com/francis-blanchet-pouilly-fume-silice-upper-loire/w/1567477?year=2016&price_id=20895234
Kumeu River,Estate Chardonnay 2018,New Zealand,Kumeu,3.8,92,https://www.vivino.com/kumeu-river-winery-estate-chardonnay/w/76137?year=2018&price_id=21341245
Bruno Rocca,Cadet Langhe Chardonnay 2016,Italy,Langhe,3.8,81,https://www.vivino.com/bruno-rocca-cadet-langhe-chardonnay/w/88476?year=2016&price_id=18941030
Joseph Drouhin,Côte de Beaune Blanc 2014,France,Côte de Beaune,3.8,78,https://www.vivino.com/joseph-drouhin-cote-de-beaune-blanc/w/24103?year=2014&price_id=15724818
Hugel,Gewürztraminer 2016,France,Alsace,3.8,77,https://www.vivino.com/hugel-gewurztraminer-alsace/w/5114?year=2016&price_id=21185387
Parusso,Langhe Bianco 2018,Italy,Langhe,3.8,72,https://www.vivino.com/parusso-langhe-bianco/w/1729580?year=2018&price_id=20459827
Nikolaihof,Steiner Hund Riesling 2014,Austria,Wachau,3.8,61,https://www.vivino.com/weingut-nikolaihof-wachau-steiner-hund-riesling/w/1189686?year=2014&price_id=21204616
Tyrrell's,Stevens Single Vineyard Sémillon 2012,Australia,Hunter Valley,3.8,59,https://www.vivino.com/tyrrells-wines-stevens-single-vineyard-semillon/w/2145049?year=2012&price_id=18199090
Nikolaihof,Federspiel Riesling 2017,Austria,Wachau,3.8,50,https://www.vivino.com/weingut-nikolaihof-wachau-federspiel-riesling/w/1939077?year=2017&price_id=21204614
Alain Geoffroy,Cuvée Vieilles Vignes Chablis 2018,France,Chablis,3.8,47,https://www.vivino.com/alain-geoffroy-cuvee-vieilles-vignes-chablis/w/1251543?year=2018&price_id=21238592
Christian Moreau Pere & Fils,Chablis 1er Cru 'Vaillon' 2017,France,Chablis 1er Cru 'Vaillons',3.8,25,https://www.vivino.com/domaine-christian-moreau-pere-and-fils-chablis-1er-cru-vaillon/w/1163740?year=2017&price_id=20765841
Valentin Zusslin,Gewürztraminer 'Bollenberg' 2014,France,Alsace,3.8,44,https://www.vivino.com/valentin-zusslin-gewurztraminer-bollenberg/w/1160424?year=2014&price_id=20895230
Trénel,Saint-Véran 2018,France,Saint-Véran,3.8,38,https://www.vivino.com/trenel-fils-saint-veran/w/78506?year=2018&price_id=19651354
Château des Fines Roches,Châteauneuf-du-Pape Blanc 2017,France,Châteauneuf-du-Pape,3.8,38,https://www.vivino.com/fr-chateau-des-fines-roches-chateauneuf-du-pape-blanc/w/1168895?year=2017&price_id=20485225
Sottano,Chardonnay 2019,Argentina,Lujan de Cuyo,3.8,38,https://www.vivino.com/sottano-chardonnay-lujan-de-cuyo/w/1125587?year=2019&price_id=20492595
St. Urbans-Hof,Bockstein Ockfen Riesling Kabinett 2018,Germany,Ockfen,3.8,34,https://www.vivino.com/weingut-st-urbans-hof-bockstein-ockfen-riesling-kabinett/w/89045?year=2018&price_id=20279187
Fraser Gallop Estate,Parterre Chardonnay 2018,Australia,Margaret River,3.8,33,https://www.vivino.com/fraser-gallop-parterre-chardonnay/w/2001661?year=2018&price_id=20894935
Franck Massard,Herbis Verdejo 2017,Spain,Rueda,3.8,30,https://www.vivino.com/franck-massard-herbis-verdejo/w/1594101?year=2017&price_id=19738612
Château Coutet,Opalie de Château Coutet 2013,France,Bordeaux,3.8,30,https://www.vivino.com/coutet-opalie-de-chateau-coutet/w/2643957?year=2013&price_id=20179321
La Coulée d'Ambrosia,Panier de Fruits 2015,France,Vin de France,3.8,30,https://www.vivino.com/fr-d-ambrosia-panier-de-fruits/w/2313097?year=2015&price_id=21620920
Franck Massard,Audacia 2016,Spain,Valdeorras,3.8,29,https://www.vivino.com/franck-massard-audacia-godello/w/1702330?year=2016&price_id=20392605
Voyager Estate,Girt By Sea Chardonnay 2018,Australia,Margaret River,3.8,28,https://www.vivino.com/voyager-estate-girt-by-sea-chardonnay/w/5127154?year=2018&price_id=21069896
Schiopetto,Pinot Grigio 2018,Italy,Venezia Giulia,3.8,28,https://www.vivino.com/azienda-agricola-mario-schiopetto-ss-pinot-grigio/w/98416?year=2018&price_id=21062009
Josmeyer,Les Folastries Gewürztraminer 2016,France,Alsace,3.8,28,https://www.vivino.com/josmeyer-and-fils-sa-les-folastries-gewurztraminer/w/23143?year=2016&price_id=21208442
Domaine Chatelain,Les Chailloux Silex Pouilly-Fumé 2018,France,Pouilly-Fumé,3.8,26,https://www.vivino.com/domaine-chatelain1-les-chailloux-silex-pouilly-fume/w/83891?year=2018&price_id=21565337
Domaine Neumeyer,Stierkopf Gewurztraminer Taureau 2016,France,Alsace,3.8,47,https://www.vivino.com/domaine-neumeyer-stierkopf-gewurztraminer-taureau/w/6749764?year=2016&price_id=18214036
Chateau Ste. Michelle,Chardonnay 2017,United States,Columbia Valley,3.7,1986,https://www.vivino.com/chateau-ste-michelle-chardonnay/w/1439?year=2017&price_id=19281870
Chateau Ste. Michelle,Dry Riesling 2017,United States,Columbia Valley,3.7,917,https://www.vivino.com/chateau-ste-michelle-dry-riesling/w/1451?year=2017&price_id=20392608
Prà,Otto Soave Classico 2017,Italy,Soave Classico,3.7,550,https://www.vivino.com/pra-otto-soave-classico/w/2370958?year=2017&price_id=21042232
Robert Mondavi,Fumé Blanc 2017,United States,Napa Valley,3.7,534,https://www.vivino.com/robert-mondavi-fume-blanc/w/2421?year=2017&price_id=21637383
Penfolds,Bin 311 Chardonnay 2017,Australia,Tumbarumba,3.7,454,https://www.vivino.com/penfolds-bin-311-chardonnay/w/1249?year=2017&price_id=21620663
Twin Islands,Sauvignon Blanc 2018,New Zealand,Marlborough,3.7,444,https://www.vivino.com/twin-islands-sauvignon-blanc/w/1157241?year=2018&price_id=20149826
Louis Jadot,Mâcon-Villages Blanc 2017,France,Mâcon-Villages,3.7,398,https://www.vivino.com/louis-jadot-macon-villages-blanc/w/2906?year=2017&price_id=21666690
Benanti,Etna Bianco 2017,Italy,Etna,3.7,248,https://www.vivino.com/benanti-etna-bianco-etna/w/5894999?year=2017&price_id=18941011
Yalumba,Viognier (Samuel's Garden Collection) 2017,Australia,Eden Valley,3.7,211,https://www.vivino.com/yalumba-viognier-samuel-s-garden-collection/w/4068?year=2017&price_id=19272584
Robert Mondavi,Chardonnay 2017,United States,Napa Valley,3.7,209,https://www.vivino.com/robert-mondavi-chardonnay/w/2422?year=2017&price_id=21637382
St. Pauls,Justina Gewürztraminer 2018,Italy,Südtirol - Alto Adige,3.7,190,https://www.vivino.com/st-pauls-justina-gewurztraminer/w/1828039?year=2018&price_id=21268496
Tasca d'Almerita,Grillo Cavallo Delle Fate Regaleali 2018,Italy,Sicilia,3.7,190,https://www.vivino.com/tasca-d-almerita-grillo-cavallo-delle-fate-regaleali/w/1630182?year=2018&price_id=21190201
Gayda,Figure Libre Freestyle Blanc 2016,France,Pays d'Oc,3.7,189,https://www.vivino.com/domaine-gayda-figure-libre-freestyle-blanc/w/1584508?year=2016&price_id=17867430
Penfolds,Bin 51 Riesling 2018,Australia,Eden Valley,3.7,188,https://www.vivino.com/penfolds-bin-51-riesling/w/24057?year=2018&price_id=21620666
Domaine Sébastien Dampt,Chablis 2017,France,Chablis,3.7,183,https://www.vivino.com/sebastien-dampt-chablis/w/1170820?year=2017&price_id=18928435
Pighin,Pinot Grigio Friuli Grave 2018,Italy,Friuli Grave,3.7,169,https://www.vivino.com/fernando-pighin-pinot-grigio-friuli-grave/w/22558?year=2018&price_id=21268565
Carmel Road,Unoaked Chardonnay 2014,United States,Monterey,3.7,168,https://www.vivino.com/carmel-road-winery-unoaked-chardonnay/w/4222793?year=2014&price_id=18857555
Atalon,Sauvignon Blanc 2014,United States,Napa Valley,3.7,166,https://www.vivino.com/atalon-winery-sauvignon-blanc/w/1877296?year=2014&price_id=10535289
St. Pauls,Plötzner Weissburgunder 2017,Italy,Südtirol - Alto Adige,3.7,165,https://www.vivino.com/st-pauls-plotzner-weissburgunder/w/1812673?year=2017&price_id=21268562
Hugel,Riesling 2017,France,Alsace,3.7,147,https://www.vivino.com/hugel-riesling/w/5109?year=2017&price_id=21185389
Louis Max,Chablis Saint Jean 2015,France,Chablis,3.7,141,https://www.vivino.com/domaine-louis-max-chablis-saint-jean/w/79626?year=2015&price_id=11515890
Markus Huber,Obere Steigen Grüner Veltliner 2017,Austria,Traisental,3.7,140,https://www.vivino.com/weingut-markus-huber-obere-steigen-gruner-veltliner/w/1107420?year=2017&price_id=15126149
Villa Matilde,Tenute di Altavilla Greco di Tufo 2017,Italy,Greco di Tufo,3.7,140,https://www.vivino.com/it-villa-matilde-tenute-di-altavilla-greco-di-tufo/w/1595818?year=2017&price_id=18941446
Les Héritiers du Comte Lafon,Les Maranches Mâcon-Uchizy 2014,France,Mâcon-Uchizy,3.7,139,https://www.vivino.com/fr-les-heritiers-du-comte-lafon-les-maranches-macon-uchizy/w/1288084?year=2014&price_id=15935348
Les Héritiers du Comte Lafon,Les Maranches Mâcon-Uchizy 2016,France,Mâcon-Uchizy,3.7,137,https://www.vivino.com/fr-les-heritiers-du-comte-lafon-les-maranches-macon-uchizy/w/1288084?year=2016&price_id=17768742
Marchesi di Barolo,Arneis Roero 2017,Italy,Roero,3.7,134,https://www.vivino.com/marchesi-di-barolo-arneis-roero/w/1793?year=2017&price_id=20895217
Schiopetto,Ribolla Gialla 2017,Italy,Venezia Giulia,3.7,125,https://www.vivino.com/azienda-agricola-mario-schiopetto-ss-ribolla-gialla/w/3269603?year=2017&price_id=21062007
Clos Henri Vineyard,Sauvignon Blanc 2017,New Zealand,Marlborough,3.7,119,https://www.vivino.com/clos-henri-sauvignon-blanc/w/1127376?year=2017&price_id=20152324
Benoît Ente,Bourgogne Aligoté 2016,France,Bourgogne Aligoté,3.7,115,https://www.vivino.com/fr-benoit-ente-bourgogne-aligote/w/1232656?year=2016&price_id=20895172
Radford Dale,The Renaissance of Chenin Blanc 2016,South Africa,Stellenbosch,3.7,101,https://www.vivino.com/za-radford-dale-the-renaissance-of-chenin-blanc/w/1558374?year=2016&price_id=20920426
Michele Chiarlo,Rovereto Gavi 2018,Italy,Gavi,3.7,100,https://www.vivino.com/michele-chiarlo-rovereto-gavi/w/86577?year=2018&price_id=21265154
Pewsey Vale,The Contours (Museum Reserve) Riesling 2013,Australia,Eden Valley,3.7,98,https://www.vivino.com/pewsey-vale-the-contours-museum-reserve-riesling/w/2105680?year=2013&price_id=20429205
Chaffey Bros Wine Co.,Düfte Punkt 2016,Australia,Eden Valley,3.7,96,https://www.vivino.com/chaffey-bros-dufte-punkt/w/2632436?year=2016&price_id=17769025
Marrenon,Grand Marrenon Blanc 2016,France,Luberon,3.7,94,https://www.vivino.com/marrenon-southern-rhone-grand-marrenon-blanc/w/1197246?year=2016&price_id=18911394
Louis Max,Meursault 1er Cru Blagny 2013,France,Meursault Premier Cru,3.7,31,https://www.vivino.com/domaine-louis-max-meursault-1er-cru-blagny/w/3859126?year=2013&price_id=8191456
Felton Road,Bannockburn Riesling 2018,New Zealand,Central Otago,3.7,86,https://www.vivino.com/felton-road-bannockburn-riesling/w/1253004?year=2018&price_id=20429198
Mastroberardino,Greco di Tufo 2007,Italy,Greco di Tufo,3.7,75,https://www.vivino.com/mastroberardino-greco-di-tufo/w/1207424?year=2007&price_id=21022075
Henschke,Tilly's Vineyard 2016,Australia,South Australia,3.7,68,https://www.vivino.com/henschke-tilly-s-vineyard/w/13546?year=2016&price_id=18250928
Château Brown,Pessac-Léognan Blanc 2014,France,Pessac-Léognan,3.7,48,https://www.vivino.com/chateau-brown-pessac-leognan-blanc/w/2158530?year=2014&price_id=18309024
Mas d'Alezon,Cabretta Faugères 2016,France,Faugères,3.7,47,https://www.vivino.com/mas-d-alezon-cabretta-faugeres/w/2162488?year=2016&price_id=19309387
Château d'Anglès,La Clape (Grand Vin) Blanc 2016,France,La Clape,3.7,44,https://www.vivino.com/d-angles-la-clape-grand-vin-blanc/w/3068187?year=2016&price_id=21238543
Cullen,Amber 2018,Australia,Margaret River,3.7,40,https://www.vivino.com/cullen-amber/w/4015777?year=2018&price_id=21066163
Vincent Pinard,Florés Sancerre 2018,France,Sancerre,3.7,38,https://www.vivino.com/vincent-pinard-flores-sancerre/w/1180038?year=2018&price_id=20109193
Torre Mora,Etna Bianco 2016,Italy,Etna,3.7,36,https://www.vivino.com/torre-mora-etna-bianco/w/5421965?year=2016&price_id=12364364
Jean-Jacques Confuron,Côte de Nuits-Villages 'La Montagne' Blanc 2014,France,Côte de Nuits Villages,3.7,34,https://www.vivino.com/jean-jacques-confuron-cote-de-nuits-villages-la-montagne-blanc/w/4896003?year=2014&price_id=17768984
Château Smith Haut-Lafitte,Les Hauts de Smith Pessac-Leognan Blanc 2017,France,Pessac-Léognan,3.7,32,https://www.vivino.com/chateau-smith-haut-lafitte-les-hauts-de-smith-pessac-leognan-blanc/w/2088202?year=2017&price_id=21157041
Francois Carillon,Bourgogne Aligoté 2016,France,Bourgogne Aligoté,3.7,88,https://www.vivino.com/francois-carillon-bourgogne-aligote/w/2682724?year=2016&price_id=20109175
Ruffino,Lumina Pinot Grigio 2018,Italy,Atesino delle Venezie,3.6,822,https://www.vivino.com/ruffino-lumina-pinot-grigio/w/1735908?year=2018&price_id=21661141
Cusumano,Angimbé (Tenuta Ficuzza) 2016,Italy,Terre Siciliane,3.6,686,https://www.vivino.com/cusumano-angimbe-tenuta-ficuzza/w/2337830?year=2016&price_id=17769105
Joseph Drouhin,Laforet Bourgogne Chardonnay 2017,France,Bourgogne,3.6,544,https://www.vivino.com/joseph-drouhin-laforet-bourgogne-chardonnay/w/24114?year=2017&price_id=17801620
Santa Cristina,Pinot Grigio delle Venezie 2018,Italy,delle Venezie,3.6,423,https://www.vivino.com/santa-cristina-pinot-grigio-delle-venezie/w/3689724?year=2018&price_id=21306769
Yalumba,Viognier (Samuel's Garden Collection) 2016,Australia,Eden Valley,3.6,405,https://www.vivino.com/yalumba-viognier-samuel-s-garden-collection/w/4068?year=2016&price_id=18250923
Pewsey Vale,Riesling 2018,Australia,Eden Valley,3.6,401,https://www.vivino.com/pewsey-vale-riesling/w/24288?year=2018&price_id=20429204
